Run,Light_Level_Percent,Light_Value,Date,Timepoint,Start.time,Stop.time,Length,Notes
1,10,155,2026-05-02,TP0,9:14,9:29,15 mins,
1,20,269,2026-05-02,TP0,9:30,9:40,10 mins,
1,40,472,2026-05-02,TP0,9:41,9:51,10 mins,
1,60,824,2026-05-02,TP0,9:52,10:02,10 mins,
1,80,1017,2026-05-02,TP0,10:03,10:13,10 mins,
1,100,1313,2026-05-02,TP0,10:14,10:24,10 mins,
1,0,0,2026-05-02,TP0,10:25,10:41,15 mins,
2,10,155,2026-05-02,TP0,11:00,11:15,15 mins,
2,20,269,2026-05-02,TP0,11:16,11:26,10 mins,
2,40,472,2026-05-02,TP0,11:27,11:37,10 mins,
2,60,824,2026-05-02,TP0,11:38,11:48,10 mins,
2,80,1017,2026-05-02,TP0,11:49,11:59,10 mins,
2,100,1313,2026-05-02,TP0,12:00,12:10,10 mins,
2,0,0,2026-05-02,TP0,12:12,12:28,15 mins,
3,10,155,2026-05-02,TP0,12:48,13:04,15 mins,
3,20,269,2026-05-02,TP0,13:05,13:15,10 mins,
3,40,472,2026-05-02,TP0,13:16,13:26,10 mins,
3,60,824,2026-05-02,TP0,13:27,13:38,10 mins,
3,80,1017,2026-05-02,TP0,13:39,13:49,10 mins,
3,100,1313,2026-05-02,TP0,13:50,14:00,10 mins,
3,0,0,2026-05-02,TP0,14:01,14:17,15 mins,
4,10,155,2026-05-02,TP0,14:37,14:53,15 mins,
4,20,269,2026-05-02,TP0,14:54,15:04,10 mins,
4,40,472,2026-05-02,TP0,15:05,15:16,10 mins,
4,60,824,2026-05-02,TP0,15:17,15:27,10 mins,
4,80,1017,2026-05-02,TP0,15:28,15:38,10 mins,
4,100,1313,2026-05-02,TP0,15:39,15:49,15 mins,
4,0,0,2026-05-02,TP0,15:50,16:05,10 mins,
5,10,155,2026-05-02,TP0,16:25,16:40,15 mins,
5,20,269,2026-05-02,TP0,16:41,16:51,10 mins,
5,40,472,2026-05-02,TP0,16:52,17:02,10 mins,
5,60,824,2026-05-02,TP0,17:02,17:13,10 mins,
5,80,1017,2026-05-02,TP0,17:14,17:24,10 mins,
5,100,1313,2026-05-02,TP0,17:25,17:35,10 mins,
5,0,0,2026-05-02,TP0,17:37,17:52,15 mins,
1,10,155,2026-05-16,TP1,9:15,9:27,10 mins,
1,20,269,2026-05-16,TP1,9:28,9:38,10 mins,
1,40,472,2026-05-16,TP1,9:39,9:50,10 mins,
1,60,824,2026-05-16,TP1,9:51,10:02,10 mins,
1,80,1017,2026-05-16,TP1,10:03,10:13,10 mins,
1,100,1313,2026-05-16,TP1,10:14,10:25,10 mins,
1,0,0,2026-05-16,TP1,10:26,10:41,15 mins,
2,10,155,2026-05-16,TP1,11:09,11:19,10 mins,
2,20,269,2026-05-16,TP1,11:20,11:30,10 mins,
2,40,472,2026-05-16,TP1,11:31,11:41,10 mins,
2,60,824,2026-05-16,TP1,11:42,11:52,10 mins,
2,80,1017,2026-05-16,TP1,11:53,12:03,10 mins,
2,100,1313,2026-05-16,TP1,12:04,12:14,10 mins,
2,0,0,2026-05-16,TP1,12:15,12:30,15 mins,
3,10,155,2026-05-16,TP1,12:51,13:02,10 mins,
3,20,269,2026-05-16,TP1,13:03,13:13,10 mins,
3,40,472,2026-05-16,TP1,13:14,13:24,10 mins,
3,60,824,2026-05-16,TP1,13:25,13:35,10 mins,
3,80,1017,2026-05-16,TP1,13:36,13:46,10 mins,
3,100,1313,2026-05-16,TP1,13:47,13:57,10 mins,
3,0,0,2026-05-16,TP1,13:59,14:14,15 mins,
4,10,155,2026-05-16,TP1,14:31,14:41,10 mins,
4,20,269,2026-05-16,TP1,14:42,14:52,10 mins,
4,40,472,2026-05-16,TP1,14:53,15:04,10 mins,
4,60,824,2026-05-16,TP1,15:05,15:15,10 mins,
4,80,1017,2026-05-16,TP1,15:16,15:26,10 mins,
4,100,1313,2026-05-16,TP1,15:27,15:37,10 mins,
4,0,0,2026-05-16,TP1,15:39,15:54,15 mins,
5,10,155,2026-05-16,TP1,16:28,16:38,10 mins,
5,20,269,2026-05-16,TP1,16:39,16:49,10 mins,
5,40,472,2026-05-16,TP1,16:50,17:00,10 mins,
5,60,824,2026-05-16,TP1,17:01,17:11,10 mins,
5,80,1017,2026-05-16,TP1,17:12,17:22,10 mins,
5,100,1313,2026-05-16,TP1,17:23,17:33,10 mins,
5,0,0,2026-05-16,TP1,17:34,17:49,15 mins,
6,10,155,2026-05-16,TP1,18:06,18:16,10 mins,
6,20,269,2026-05-16,TP1,18:17,18:27,10 mins,
6,40,472,2026-05-16,TP1,18:28,18:38,10 mins,
6,60,824,2026-05-16,TP1,18:39,18:49,10 mins,
6,80,1017,2026-05-16,TP1,18:50,19:00,10 mins,
6,100,1313,2026-05-16,TP1,19:01,19:11,10 mins,
6,0,0,2026-05-16,TP1,19:12,19:30,15 mins,
7,10,155,2026-05-16,TP1,19:48,19:58,10 mins,
7,20,269,2026-05-16,TP1,19:59,20:09,10 mins,
7,40,472,2026-05-16,TP1,20:10,20:21,10 mins,
7,60,824,2026-05-16,TP1,20:22,20:32,10 mins,
7,80,1017,2026-05-16,TP1,20:33,20:43,10 mins,
7,100,1313,2026-05-16,TP1,20:44,20:54,10 mins,
7,0,0,2026-05-16,TP1,20:55,21:10,15 mins,
8,10,155,2026-05-16,TP1,21:27,21:38,10 mins,
8,20,269,2026-05-16,TP1,21:39,21:49,10 mins,
8,40,472,2026-05-16,TP1,21:50,22:00,10 mins,
8,60,824,2026-05-16,TP1,22:01,22:11,10 mins,
8,80,1017,2026-05-16,TP1,22:12,22:22,10 mins,
8,100,1313,2026-05-16,TP1,22:23,22:33,10 mins,
8,0,0,2026-05-16,TP1,22:35,22:50,15 mins,
1,10,155,2026-05-22,TP2,8:09,8:20,10 mins,
1,20,269,2026-05-22,TP2,8:21,8:32,10 mins,
1,40,472,2026-05-22,TP2,8:33,8:43,10 mins,
1,60,824,2026-05-22,TP2,8:44,8:54,10 mins,
1,80,1017,2026-05-22,TP2,8:55,9:05,10 mins,
1,100,1313,2026-05-22,TP2,9:06,9:16,10 mins,
1,0,0,2026-05-22,TP2,9:18,9:28,15 mins,Computer decided to restart at 9:28 so we did not get the full 15 mins for this run but we got at least 10 mins. 
2,10,155,2026-05-22,TP2,10:06,10:16,10 mins,
2,20,269,2026-05-22,TP2,10:17,10:27,10 mins,
2,40,472,2026-05-22,TP2,10:29,10:39,10 mins,
2,60,824,2026-05-22,TP2,10:40,10:50,10 mins,
2,80,1017,2026-05-22,TP2,10:51,11:01,10 mins,
2,100,1313,2026-05-22,TP2,11:02,11:12,10 mins,
2,0,0,2026-05-22,TP2,11:14,11:29,15 mins,
3,10,155,2026-05-22,TP2,11:46,11:56,10 mins,
3,20,269,2026-05-22,TP2,11:57,12:07,10 mins,
3,40,472,2026-05-22,TP2,12:08,12:18,10 mins,
3,60,824,2026-05-22,TP2,12:19,12:29,10 mins,
3,80,1017,2026-05-22,TP2,12:30,12:40,10 mins,
3,100,1313,2026-05-22,TP2,12:41,12:51,10 mins,
3,0,0,2026-05-22,TP2,12:52,13:08,15 mins,
4,10,155,2026-05-22,TP2,13:23,13:33,10 mins,
4,20,269,2026-05-22,TP2,13:35,13:45,10 mins,
4,40,472,2026-05-22,TP2,13:46,13:56,10 mins,
4,60,824,2026-05-22,TP2,13:57,14:07,10 mins,
4,80,1017,2026-05-22,TP2,14:08,14:18,10 mins,
4,100,1313,2026-05-22,TP2,14:19,14:29,10 mins,
4,0,0,2026-05-22,TP2,14:31,14:46,15 mins,
5,10,155,2026-05-22,TP2,15:50,16:00,10 mins,
5,20,269,2026-05-22,TP2,16:01,16:12,10 mins,
5,40,472,2026-05-22,TP2,16:14,16:24,10 mins,
5,60,824,2026-05-22,TP2,16:25,16:35,10 mins,
5,80,1017,2026-05-22,TP2,16:36,16:46,10 mins,
5,100,1313,2026-05-22,TP2,16:47,16:57,10 mins,
5,0,0,2026-05-22,TP2,16:59,17:18,15 mins,Ran a little longer bc Arlo + Lexi were doing PAM and didn't want to get in the way
6,10,155,2026-05-22,TP2,17:35,17:45,10 mins,
6,20,269,2026-05-22,TP2,17:46,17:56,10 mins,
6,40,472,2026-05-22,TP2,17:57,18:07,10 mins,
6,60,824,2026-05-22,TP2,18:08,18:18,10 mins,
6,80,1017,2026-05-22,TP2,18:19,18:29,10 mins,
6,100,1313,2026-05-22,TP2,18:30,18:40,10 mins,
6,0,0,2026-05-22,TP2,18:41,18:56,15 mins,
7,10,155,2026-05-22,TP2,19:17,19:27,10 mins,
7,20,269,2026-05-22,TP2,19:28,19:38,10 mins,
7,40,472,2026-05-22,TP2,19:39,19:49,10 mins,
7,60,824,2026-05-22,TP2,19:50,20:00,10 mins,
7,80,1017,2026-05-22,TP2,20:01,20:11,10 mins,
7,100,1313,2026-05-22,TP2,20:12,20:22,10 mins,
7,0,0,2026-05-22,TP2,20:23,20:39,15 mins,
8,10,155,2026-05-22,TP2,20:55,21:05,10 mins,
8,20,269,2026-05-22,TP2,21:06,21:16,10 mins,
8,40,472,2026-05-22,TP2,21:17,21:27,10 mins,
8,60,824,2026-05-22,TP2,21:28,21:38,10 mins,
8,80,1017,2026-05-22,TP2,21:39,21:49,10 mins,
8,100,1313,2026-05-22,TP2,21:50,22:00,10 mins,
8,0,0,2026-05-22,TP2,22:01,22:16,15 mins,