Date,Timepoint,SampleID,Chamber,Run,Chamber_Volume_mL,Notes
2026-05-02,TP0,PC-242-phys,1,1,234.345,
2026-05-02,TP0,MC-3-phys,2,1,228.738,"Did not use this colony in experiment, only used for seasonal sampling; omit?"
2026-05-02,TP0,PC-235-phys,3,1,236.509,
2026-05-02,TP0,MC-213-phys,4,1,233.081,
2026-05-02,TP0,PC-248-phys,5,1,228.491,
2026-05-02,TP0,blank,6,1,235.255,
2026-05-02,TP0,MC-202-phys,7,1,228.576,
2026-05-02,TP0,PC-43-phys,8,1,230.587,
2026-05-02,TP0,MC-201-phys,9,1,236.165,"Did not use this colony in experiment, only used for seasonal sampling; omit?"
2026-05-02,TP0,PC-238-phys,10,1,226.396,
2026-05-02,TP0,blank,1,2,238.78,
2026-05-02,TP0,PC-247-phys,2,2,232.089,
2026-05-02,TP0,MC-209-phys,3,2,232.601,
2026-05-02,TP0,MC-19-phys,4,2,225.88,
2026-05-02,TP0,PC-28-phys,5,2,214.492,
2026-05-02,TP0,PC-240-phys,6,2,232.436,
2026-05-02,TP0,MC-12-phys,7,2,234.707,
2026-05-02,TP0,PC-44-phys,8,2,232.377,
2026-05-02,TP0,MC-211-phys,9,2,230.58,
2026-05-02,TP0,PC-236-phys,10,2,229.267,
2026-05-02,TP0,PC-42-phys,1,3,232.988,
2026-05-02,TP0,PC-239-phys,2,3,231.093,
2026-05-02,TP0,MC-20-phys,3,3,228.188,
2026-05-02,TP0,PC-225-phys,4,3,234.11,
2026-05-02,TP0,PC-226-phys,5,3,232.567,
2026-05-02,TP0,MC-214-phys,6,3,236.555,
2026-05-02,TP0,blank,7,3,239.154,
2026-05-02,TP0,PC-234-phys,8,3,232.667,
2026-05-02,TP0,PC-237-phys,9,3,231.331,
2026-05-02,TP0,PC-233-phys,10,3,236.52,
2026-05-02,TP0,MC-204-phys,1,4,238.569,
2026-05-02,TP0,PC-27-phys,2,4,230.64,
2026-05-02,TP0,PC-241-phys,3,4,225.504,
2026-05-02,TP0,MC-206-phys,4,4,236.951,
2026-05-02,TP0,MC-1-phys,5,4,235.03,"Did not use this colony in experiment, only used for seasonal sampling; omit?"
2026-05-02,TP0,PC-26-phys,6,4,236.845,
2026-05-02,TP0,PC-244-phys,7,4,224.488,
2026-05-02,TP0,PC-29-phys,8,4,233.401,
2026-05-02,TP0,blank,9,4,241.153,
2026-05-02,TP0,MC-4-phys,10,4,234.788,"Did not use this colony in experiment, only used for seasonal sampling; omit?"
2026-05-02,TP0,PC-41-phys,1,5,232.388,
2026-05-02,TP0,MC-221-phys,2,5,238.078,
2026-05-02,TP0,blank,3,5,241.153,
2026-05-02,TP0,MC-2-phys,4,5,233.313,"Did not use this colony in experiment, only used for seasonal sampling; omit?"
2026-05-02,TP0,PC-243-phys,5,5,226.411,
2026-05-02,TP0,MC-203-phys,6,5,225.139,
2026-05-02,TP0,NA,7,5,NA,
2026-05-02,TP0,NA,8,5,NA,
2026-05-02,TP0,NA,9,5,NA,
2026-05-02,TP0,NA,10,5,NA,
2026-05-16,TP1,MC-211-A1,1,1,318.897,
2026-05-16,TP1,PC-28-A1,2,1,329.499,
2026-05-16,TP1,MC-202-A2,3,1,357.486,
2026-05-16,TP1,MC-20-A3,4,1,331.07,Chambers used for calc are not the same volume as the one used for PI curve runs...think about this. maybe we subtract 100mL from each one?? to more accurately account for the vol in each pi chambr 
2026-05-16,TP1,PC-225-A1,5,1,330.689,
2026-05-16,TP1,blank,6,1,331.458,
2026-05-16,TP1,PC-233-A3,7,1,324.661,
2026-05-16,TP1,MC-214-A3,8,1,325.777,
2026-05-16,TP1,PC-43-A2,9,1,325.857,
2026-05-16,TP1,PC-235-A2,10,1,320.895,
2026-05-16,TP1,PC-247-A3,1,2,337.047,
2026-05-16,TP1,MC-221-A1,2,2,313.169,
2026-05-16,TP1,MC-213-A2,3,2,325.178,
2026-05-16,TP1,blank,4,2,241.153,
2026-05-16,TP1,MC-203-A3,5,2,321.688,
2026-05-16,TP1,MC-12-A1,6,2,332.049,
2026-05-16,TP1,MC-206-A2,7,2,333.623,
2026-05-16,TP1,MC-204-A1,8,2,330.751,
2026-05-16,TP1,MC-19-A2,9,2,324.209,
2026-05-16,TP1,PC-41-A3,10,2,326.769,
2026-05-16,TP1,PC-27-A3,1,3,326.326,
2026-05-16,TP1,PC-240-A1,2,3,322.81,
2026-05-16,TP1,blank,3,3,319.087,
2026-05-16,TP1,PC-244-A2,4,3,323.368,
2026-05-16,TP1,PC-44-A3,5,3,325.99,
2026-05-16,TP1,PC-29-A2,6,3,334.478,
2026-05-16,TP1,MC-209-A3,7,3,326.468,
2026-05-16,TP1,PC-26-A2,8,3,321.848,
2026-05-16,TP1,PC-248-A1,9,3,319.621,
2026-05-16,TP1,PC-42-A1,10,3,331.158,
2026-05-16,TP1,PC-242-A3,1,4,329.204,
2026-05-16,TP1,PC-234-A1,2,4,324.572,
2026-05-16,TP1,PC-238-A2,3,4,330.54,
2026-05-16,TP1,PC-236-A3,4,4,325.74,
2026-05-16,TP1,PC-243-A1,5,4,315.541,
2026-05-16,TP1,PC-241-A2,6,4,325.868,
2026-05-16,TP1,PC-226-A2,7,4,325.822,
2026-05-16,TP1,PC-237-A1,8,4,323.425,
2026-05-16,TP1,PC-239-A3,9,4,322.302,
2026-05-16,TP1,blank,10,4,332.157,
2026-05-16,TP1,PC-242-H3,1,5,323.983,
2026-05-16,TP1,MC-19-H2,2,5,329.613,
2026-05-16,TP1,MC-211-H1,3,5,329.272,
2026-05-16,TP1,blank,4,5,326.481,
2026-05-16,TP1,PC-42-H1,5,5,330.127,
2026-05-16,TP1,PC-43-H2,6,5,320.117,
2026-05-16,TP1,MC-20-H3,7,5,325.735,
2026-05-16,TP1,PC-44-H3,8,5,326.21,
2026-05-16,TP1,PC-240-H1,9,5,326.992,
2026-05-16,TP1,PC-244-H2,10,5,333.574,
2026-05-16,TP1,MC-204-H1,1,6,326.83,
2026-05-16,TP1,PC-236-H3,2,6,325.16,
2026-05-16,TP1,MC-202-H2,3,6,335.228,
2026-05-16,TP1,MC-213-H2,4,6,315.58,
2026-05-16,TP1,blank,5,6,333.401,
2026-05-16,TP1,MC-209-H3,6,6,326.414,
2026-05-16,TP1,PC-247-H3,7,6,323.224,
2026-05-16,TP1,PC-241-H2,8,6,329.649,
2026-05-16,TP1,PC-234-H1,9,6,325.281,
2026-05-16,TP1,MC-12-H1,10,6,329.818,
2026-05-16,TP1,MC-206-H2,1,7,322.149,
2026-05-16,TP1,PC-27-H3,2,7,329.308,
2026-05-16,TP1,PC-226-H2,3,7,322.011,
2026-05-16,TP1,PC-248-H1,4,7,328.566,
2026-05-16,TP1,MC-221-H1,5,7,325.279,
2026-05-16,TP1,PC-28-H1,6,7,334.363,
2026-05-16,TP1,blank,7,7,338.332,Blank did not have plug in it for this run
2026-05-16,TP1,PC-233-H3,8,7,319.776,
2026-05-16,TP1,PC-29-H2,9,7,329.612,
2026-05-16,TP1,PC-239-H3,10,7,326.188,
2026-05-16,TP1,MC-214-H3,1,8,336.641,
2026-05-16,TP1,PC-41-H3,2,8,314.572,
2026-05-16,TP1,blank,3,8,333.06,
2026-05-16,TP1,PC-238-H2,4,8,327.119,
2026-05-16,TP1,MC-203-H3,5,8,332.675,
2026-05-16,TP1,PC-237-H1,6,8,319.771,
2026-05-16,TP1,PC-235-H2,7,8,332.221,
2026-05-16,TP1,PC-243-H1,8,8,322.443,
2026-05-16,TP1,PC-225-H1,9,8,330.593,
2026-05-16,TP1,PC-26-H2,10,8,321.039,
2026-05-22,TP2,PC-237-A2,1,1,320.52,
2026-05-22,TP2,MC-20-A1,2,1,334.89,
2026-05-22,TP2,PC-248-A2,3,1,326.7,
2026-05-22,TP2,PC-44-A1,4,1,320.476,Chambers used for calc are not the same volume as the one used for PI curve runs...think about this. maybe we subtract 100mL from each one?? to more accurately account for the vol in each pi chambr 
2026-05-22,TP2,blank,5,1,333.32,
2026-05-22,TP2,PC-239-A1,6,1,330.094,
2026-05-22,TP2,MC-204-A2,7,1,333.115,
2026-05-22,TP2,PC-238-A3,8,1,330.089,
2026-05-22,TP2,PC-43-A3,9,1,326.425,
2026-05-22,TP2,MC-202-A3,10,1,330.88,
2026-05-22,TP2,MC-213-A3,1,2,329.303,
2026-05-22,TP2,PC-243-A2,2,2,327.392,
2026-05-22,TP2,MC-19-A3,3,2,331.141,
2026-05-22,TP2,MC-209-A1,4,2,327.101,
2026-05-22,TP2,PC-244-A3,5,2,332.74,
2026-05-22,TP2,PC-233-A1,6,2,330.82,
2026-05-22,TP2,PC-234-A2,7,2,320.243,
2026-05-22,TP2,blank,8,2,332.153,
2026-05-22,TP2,PC-27-A1,9,2,324.9,
2026-05-22,TP2,MC-211-A2,10,2,337.431,
2026-05-22,TP2,MC-221-A2,1,3,329.62,
2026-05-22,TP2,PC-242-A1,2,3,328.607,
2026-05-22,TP2,PC-226-A3,3,3,324.244,
2026-05-22,TP2,PC-41-A1,4,3,324.409,
2026-05-22,TP2,PC-28-A2,5,3,328.568,
2026-05-22,TP2,PC-241-A3,6,3,330.848,
2026-05-22,TP2,MC-214-A1,7,3,321.414,
2026-05-22,TP2,PC-42-A2,8,3,331.447,
2026-05-22,TP2,PC-26-A3,9,3,326.634,
2026-05-22,TP2,blank,10,3,331.641,
2026-05-22,TP2,MC-203-A1,1,4,332.214,
2026-05-22,TP2,PC-236-A1,2,4,318.967,
2026-05-22,TP2,PC-29-A3,3,4,335.564,
2026-05-22,TP2,blank,4,4,320.471,
2026-05-22,TP2,PC-225-A2,5,4,330.882,
2026-05-22,TP2,MC-206-A3,6,4,331.87,
2026-05-22,TP2,PC-235-A3,7,4,326.054,
2026-05-22,TP2,PC-247-A1,8,4,331.296,
2026-05-22,TP2,PC-240-A2,9,4,327.928,
2026-05-22,TP2,MC-12-A2,10,4,335.88,
2026-05-22,TP2,MC-206-H1,1,5,332.63,
2026-05-22,TP2,PC-43-H3,2,5,326.988,
2026-05-22,TP2,PC-242-H1,3,5,320.82,
2026-05-22,TP2,PC-29-H3,4,5,321.208,
2026-05-22,TP2,PC-44-H1,5,5,312.777,
2026-05-22,TP2,MC-19-H3,6,5,332.772,
2026-05-22,TP2,blank,7,5,332.335,
2026-05-22,TP2,MC-202-H1,8,5,329.865,
2026-05-22,TP2,PC-240-H3,9,5,320.521,
2026-05-22,TP2,MC-12-H2,10,5,327.52,
2026-05-22,TP2,MC-211-H2,1,6,325.578,
2026-05-22,TP2,PC-27-H1,2,6,326.541,
2026-05-22,TP2,PC-244-H3,3,6,329.623,
2026-05-22,TP2,PC-234-H2,4,6,329.024,
2026-05-22,TP2,MC-213-H3,5,6,318.994,
2026-05-22,TP2,PC-248-H2,6,6,317.676,
2026-05-22,TP2,PC-239-H1,7,6,324.08,
2026-05-22,TP2,blank,8,6,336.622,
2026-05-22,TP2,MC-203-H1,9,6,331.022,
2026-05-22,TP2,MC-20-H1,10,6,326.921,
2026-05-22,TP2,PC-243-H2,1,7,331.021,
2026-05-22,TP2,PC-233-H1,2,7,326.748,
2026-05-22,TP2,blank,3,7,331.273,
2026-05-22,TP2,PC-235-H3,4,7,328.551,
2026-05-22,TP2,PC-237-H2,5,7,329.22,
2026-05-22,TP2,PC-241-H3,6,7,329.355,
2026-05-22,TP2,PC-28-H2,7,7,331.055,
2026-05-22,TP2,PC-236-H2,8,7,317.392,
2026-05-22,TP2,PC-42-H2,9,7,323.811,
2026-05-22,TP2,MC-214-H1,10,7,335.18,
2026-05-22,TP2,PC-238-H3,1,8,326.899,
2026-05-22,TP2,PC-225-H2,2,8,334.354,
2026-05-22,TP2,PC-226-H3,3,8,328.378,
2026-05-22,TP2,PC-247-H1,4,8,327.713,
2026-05-22,TP2,MC-204-H2,5,8,327.051,
2026-05-22,TP2,PC-41-H1,6,8,325.433,
2026-05-22,TP2,MC-209-H1,7,8,329.12,
2026-05-22,TP2,MC-221-H2,8,8,324.776,
2026-05-22,TP2,PC-26-H3,9,8,329.298,
2026-05-22,TP2,blank,10,8,322.874,