Date,SampleID,Status,Binary_Fate,Notes
5/10/26,MC-12-A1,Alive,1,
5/10/26,MC-12-A2,Alive,1,
5/10/26,MC-12-A3,Alive,1,
5/10/26,MC-12-H1,Alive,1,
5/10/26,MC-12-H2,Alive,1,
5/10/26,MC-12-H3,Alive,1,
5/10/26,MC-19-A1,Alive,1,
5/10/26,MC-19-A2,Alive,1,
5/10/26,MC-19-A3,Alive,1,
5/10/26,MC-19-H1,Alive,1,
5/10/26,MC-19-H2,Alive,1,
5/10/26,MC-19-H3,Alive,1,
5/10/26,MC-20-A1,Alive,1,
5/10/26,MC-20-A2,Alive,1,
5/10/26,MC-20-A3,Alive,1,
5/10/26,MC-20-H1,Alive,1,
5/10/26,MC-20-H2,Alive,1,
5/10/26,MC-20-H3,Alive,1,
5/10/26,MC-202-A1,Alive,1,
5/10/26,MC-202-A2,Alive,1,
5/10/26,MC-202-A3,Alive,1,
5/10/26,MC-202-H1,Alive,1,
5/10/26,MC-202-H2,Alive,1,
5/10/26,MC-202-H3,Alive,1,
5/10/26,MC-203-A1,Alive,1,
5/10/26,MC-203-A2,Alive,1,
5/10/26,MC-203-A3,Alive,1,
5/10/26,MC-203-H1,Alive,1,
5/10/26,MC-203-H2,Alive,1,
5/10/26,MC-203-H3,Alive,1,
5/10/26,MC-204-A1,Alive,1,
5/10/26,MC-204-A2,Alive,1,
5/10/26,MC-204-A3,Alive,1,
5/10/26,MC-204-H1,Alive,1,
5/10/26,MC-204-H2,Alive,1,
5/10/26,MC-204-H3,Alive,1,
5/10/26,MC-206-A1,Alive,1,
5/10/26,MC-206-A2,Alive,1,
5/10/26,MC-206-A3,Alive,1,
5/10/26,MC-206-H1,Alive,1,
5/10/26,MC-206-H2,Alive,1,
5/10/26,MC-206-H3,Alive,1,
5/10/26,MC-209-A1,Alive,1,
5/10/26,MC-209-A2,Alive,1,
5/10/26,MC-209-A3,Alive,1,
5/10/26,MC-209-H1,Alive,1,
5/10/26,MC-209-H2,Alive,1,
5/10/26,MC-209-H3,Alive,1,
5/10/26,MC-211-A1,Alive,1,
5/10/26,MC-211-A2,Alive,1,
5/10/26,MC-211-A3,Alive,1,
5/10/26,MC-211-H1,Alive,1,
5/10/26,MC-211-H2,Alive,1,
5/10/26,MC-211-H3,Alive,1,
5/10/26,MC-213-A1,Alive,1,
5/10/26,MC-213-A2,Alive,1,
5/10/26,MC-213-A3,Alive,1,
5/10/26,MC-213-H1,Alive,1,
5/10/26,MC-213-H2,Alive,1,
5/10/26,MC-213-H3,Alive,1,
5/10/26,MC-214-A1,Alive,1,
5/10/26,MC-214-A2,Alive,1,
5/10/26,MC-214-A3,Alive,1,
5/10/26,MC-214-H1,Alive,1,
5/10/26,MC-214-H2,Alive,1,
5/10/26,MC-214-H3,Alive,1,
5/10/26,MC-221-A1,Alive,1,
5/10/26,MC-221-A2,Alive,1,
5/10/26,MC-221-A3,Alive,1,
5/10/26,MC-221-H1,Alive,1,
5/10/26,MC-221-H2,Alive,1,
5/10/26,MC-221-H3,Alive,1,
5/10/26,PC-225-A1,Alive,1,
5/10/26,PC-225-A2,Alive,1,
5/10/26,PC-225-A3,Alive,1,
5/10/26,PC-225-H1,Alive,1,
5/10/26,PC-225-H2,Alive,1,
5/10/26,PC-225-H3,Alive,1,
5/10/26,PC-226-A1,Alive,1,
5/10/26,PC-226-A2,Alive,1,
5/10/26,PC-226-A3,Alive,1,
5/10/26,PC-226-H1,Alive,1,
5/10/26,PC-226-H2,Alive,1,
5/10/26,PC-226-H3,Alive,1,
5/10/26,PC-233-A1,Alive,1,
5/10/26,PC-233-A2,Alive,1,
5/10/26,PC-233-A3,Alive,1,
5/10/26,PC-233-H1,Alive,1,
5/10/26,PC-233-H2,Alive,1,
5/10/26,PC-233-H3,Alive,1,
5/10/26,PC-234-A1,Alive,1,
5/10/26,PC-234-A2,Alive,1,
5/10/26,PC-234-A3,Alive,1,
5/10/26,PC-234-H1,Alive,1,
5/10/26,PC-234-H2,Alive,1,
5/10/26,PC-234-H3,Alive,1,
5/10/26,PC-235-A1,Alive,1,
5/10/26,PC-235-A2,Alive,1,
5/10/26,PC-235-A3,Alive,1,
5/10/26,PC-235-H1,Alive,1,
5/10/26,PC-235-H2,Alive,1,
5/10/26,PC-235-H3,Alive,1,
5/10/26,PC-236-A1,Alive,1,
5/10/26,PC-236-A2,Alive,1,
5/10/26,PC-236-A3,Alive,1,
5/10/26,PC-236-H1,Alive,1,
5/10/26,PC-236-H2,Alive,1,
5/10/26,PC-236-H3,Alive,1,
5/10/26,PC-237-A1,Alive,1,
5/10/26,PC-237-A2,Alive,1,
5/10/26,PC-237-A3,Alive,1,
5/10/26,PC-237-H1,Alive,1,
5/10/26,PC-237-H2,Alive,1,
5/10/26,PC-237-H3,Alive,1,
5/10/26,PC-238-A1,Alive,1,
5/10/26,PC-238-A2,Alive,1,
5/10/26,PC-238-A3,Alive,1,
5/10/26,PC-238-H1,Alive,1,
5/10/26,PC-238-H2,Alive,1,
5/10/26,PC-238-H3,Alive,1,
5/10/26,PC-239-A1,Alive,1,
5/10/26,PC-239-A2,Alive,1,
5/10/26,PC-239-A3,Alive,1,
5/10/26,PC-239-H1,Alive,1,
5/10/26,PC-239-H2,Alive,1,
5/10/26,PC-239-H3,Alive,1,
5/10/26,PC-240-A1,Alive,1,
5/10/26,PC-240-A2,Alive,1,
5/10/26,PC-240-A3,Alive,1,
5/10/26,PC-240-H1,Alive,1,
5/10/26,PC-240-H2,Alive,1,
5/10/26,PC-240-H3,Alive,1,
5/10/26,PC-241-A1,Alive,1,
5/10/26,PC-241-A2,Alive,1,
5/10/26,PC-241-A3,Alive,1,
5/10/26,PC-241-H1,Alive,1,
5/10/26,PC-241-H2,Alive,1,
5/10/26,PC-241-H3,Alive,1,
5/10/26,PC-242-A1,Alive,1,
5/10/26,PC-242-A2,Alive,1,
5/10/26,PC-242-A3,Alive,1,
5/10/26,PC-242-H1,Alive,1,
5/10/26,PC-242-H2,Alive,1,"Looks sick, tissue is discolored"
5/10/26,PC-242-H3,Alive,1,
5/10/26,PC-243-A1,Alive,1,
5/10/26,PC-243-A2,Alive,1,
5/10/26,PC-243-A3,Alive,1,
5/10/26,PC-243-H1,Alive,1,
5/10/26,PC-243-H2,Alive,1,
5/10/26,PC-243-H3,Alive,1,
5/10/26,PC-244-A1,Alive,1,
5/10/26,PC-244-A2,Alive,1,
5/10/26,PC-244-A3,Alive,1,
5/10/26,PC-244-H1,Alive,1,
5/10/26,PC-244-H2,Alive,1,
5/10/26,PC-244-H3,Alive,1,
5/10/26,PC-247-A1,Alive,1,
5/10/26,PC-247-A2,Alive,1,
5/10/26,PC-247-A3,Alive,1,
5/10/26,PC-247-H1,Alive,1,
5/10/26,PC-247-H2,Alive,1,
5/10/26,PC-247-H3,Alive,1,
5/10/26,PC-248-A1,Alive,1,
5/10/26,PC-248-A2,Alive,1,
5/10/26,PC-248-A3,Alive,1,
5/10/26,PC-248-H1,Alive,1,
5/10/26,PC-248-H2,Alive,1,
5/10/26,PC-248-H3,Alive,1,
5/10/26,PC-26-A1,Alive,1,
5/10/26,PC-26-A2,Alive,1,
5/10/26,PC-26-A3,Alive,1,
5/10/26,PC-26-H1,Alive,1,
5/10/26,PC-26-H2,Alive,1,
5/10/26,PC-26-H3,Alive,1,
5/10/26,PC-27-A1,Alive,1,
5/10/26,PC-27-A2,Alive,1,
5/10/26,PC-27-A3,Alive,1,
5/10/26,PC-27-H1,Alive,1,
5/10/26,PC-27-H2,Alive,1,
5/10/26,PC-27-H3,Alive,1,
5/10/26,PC-28-A1,Alive,1,
5/10/26,PC-28-A2,Alive,1,
5/10/26,PC-28-A3,Alive,1,
5/10/26,PC-28-H1,Alive,1,
5/10/26,PC-28-H2,Alive,1,
5/10/26,PC-28-H3,Alive,1,
5/10/26,PC-29-A1,Alive,1,
5/10/26,PC-29-A2,Alive,1,
5/10/26,PC-29-A3,Alive,1,
5/10/26,PC-29-H1,Alive,1,
5/10/26,PC-29-H2,Alive,1,
5/10/26,PC-29-H3,Alive,1,
5/10/26,PC-41-A1,Alive,1,
5/10/26,PC-41-A2,Alive,1,
5/10/26,PC-41-A3,Alive,1,
5/10/26,PC-41-H1,Alive,1,
5/10/26,PC-41-H2,Alive,1,
5/10/26,PC-41-H3,Alive,1,
5/10/26,PC-42-A1,Alive,1,
5/10/26,PC-42-A2,Alive,1,
5/10/26,PC-42-A3,Alive,1,
5/10/26,PC-42-H1,Alive,1,
5/10/26,PC-42-H2,Alive,1,
5/10/26,PC-42-H3,Alive,1,
5/10/26,PC-43-A1,Alive,1,
5/10/26,PC-43-A2,Alive,1,
5/10/26,PC-43-A3,Alive,1,
5/10/26,PC-43-H1,Alive,1,
5/10/26,PC-43-H2,Alive,1,
5/10/26,PC-43-H3,Alive,1,
5/10/26,PC-44-A1,Alive,1,
5/10/26,PC-44-A2,Alive,1,
5/10/26,PC-44-A3,Alive,1,
5/10/26,PC-44-H1,Alive,1,
5/10/26,PC-44-H2,Alive,1,
5/10/26,PC-44-H3,Alive,1,
5/10/26,MC-12-A1-pHi,Alive,1,
5/10/26,MC-19-A1-pHi,Alive,1,
5/10/26,MC-19-A3-pHi,Alive,1,
5/10/26,MC-20-A1-pHi,Alive,1,
5/10/26,MC-203-A1-pHi,Alive,1,
5/10/26,MC-204-A1-pHI,Alive,1,
5/10/26,MC-206-A1-pHi,Alive,1,
5/10/26,MC-209-A1-pHi,Alive,1,
5/10/26,MC-211-A1-pHi,Alive,1,
5/10/26,MC-213-A1-pHi,Alive,1,
5/10/26,MC-214-A1-pHi,Alive,1,
5/10/26,MC-221-A1-pHi,Alive,1,
5/10/26,MC-221-A3-pHi,Alive,1,
5/10/26,MC-213-A3-pHi,Alive,1,
5/10/26,MC-206-A3-pHi,Alive,1,
5/10/26,MC-214-A3-pHi,Alive,1,
5/10/26,MC-204-A3-pHi,Alive,1,
5/10/26,MC-203-A3-pHi,Alive,1,
5/10/26,MC-20-A3-pHi,Alive,1,
5/10/26,MC-209-A3-pHi,Alive,1,
5/10/26,MC-12-A3-pHi,Alive,1,
5/10/26,MC-20-A2-pHi,Alive,1,
5/10/26,MC-206-A2-pHi,Alive,1,
5/10/26,MC-19-A2-pHi,Alive,1,
5/10/26,MC-213-A2-pHi,Alive,1,
5/10/26,MC-209-A2-pHi,Alive,1,
5/10/26,MC-203-A2-pHi,Alive,1,
5/10/26,MC-12-A2-pHi,Alive,1,
5/10/26,MC-204-A2-pHi,Alive,1,
5/10/26,MC-214-A2-pHi,Alive,1,
5/10/26,MC-221-A2-pHi,Alive,1,
5/10/26,MC-221-H2-pHi,Alive,1,
5/10/26,MC-206-H2-pHi,Alive,1,
5/10/26,MC-209-H2-pHi,Alive,1,
5/10/26,MC-12-H2-pHi,Alive,1,
5/10/26,MC-20-H2-pHi,Alive,1,
5/10/26,MC-19-H2-pHi,Alive,1,
5/10/26,MC-211-H2-pHi,Alive,1,
5/10/26,MC-203-H2-pHi,Alive,1,
5/10/26,MC-214-H2-pHi,Alive,1,
5/10/26,MC-204-H2-pHi,Alive,1,
5/10/26,MC-206-H3-pHi,Alive,1,
5/10/26,MC-203-H3-pHi,Alive,1,
5/10/26,MC-214-H3-pHi,Alive,1,
5/10/26,MC-204-H3-pHi,Alive,1,
5/10/26,MC-209-H3-pHi,Alive,1,
5/10/26,MC-221-H3-pHi,Alive,1,
5/10/26,MC-211-H3-pHi,Alive,1,
5/10/26,MC-12-H3-pHi,Alive,1,
5/10/26,MC-20-H3-pHi,Alive,1,
5/10/26,MC-213-H3-pHi,Alive,1,
5/10/26,MC-19-H3-pHi,Alive,1,
5/10/26,MC-221-H1-pHi,Alive,1,
5/10/26,MC-213-H1-pHi,Alive,1,
5/10/26,MC-12-H1-pHi,Alive,1,
5/10/26,MC-206-H1-pHi,Alive,1,
5/10/26,MC-204-H1-pHi,Alive,1,
5/10/26,MC-209-H1-pHi,Alive,1,
5/10/26,MC-19-H1-pHi,Alive,1,
5/10/26,MC-20-H1-pHi,Alive,1,
5/10/26,MC-214-H1-pHi,Alive,1,
5/10/26,MC-203-H1-pHi,Alive,1,